Numero da Peca,Descricao,Quantidade,Localizacao
A 6966887506    9B51,REVESTIMENTO DIR COLUNA A,1,30
A 906180120100800001,BOMBA DE OLEO RENOV,1,13C03
A 9068850253    9B51,GRADE DE COBERTURA,1,16B12
A 9078303501    9051,CANAL DE AR,1,07E08
A 9078606900    9C94,CINTO DE SEGURANCA,1,04A07
A 9108854300    9K83,COBERT. AREA PARA-CHOQUE,1,06D06
A 940666023100647390,CONSOLE DIANTEIRO DIR.ESTRIBO INF.-PLAST,1,16D15
A 9406801306    9B51,"CJ.REVEST.SUP BFS DIR ESQ DURO FL.0,1-2",1,30
A 9413230421    7390,BRONZINA,3,17F07
A 9416891339    7C45,TAMPA PLASTICA,3,16D23
A 9473250013    9985,TAMPA DE PROTECAO,2,21H15
A 9586600401    7354,CONJUNTO ESTRIBO ESQ.2 DEGRAUS-PLASTICO,1,ESTRADO 5
A 9586970198    9051,LU VEDACAO DA PORTA - ELASTOMERO,2,13D03
A 9587270224    7354,COBERTURA DO ESTRIBO ESQ,1,27C09
A 9588800008    0000,CJ SPOILER FRONTAL CENTRAL,1,30
A 9588840522    0000,COBERTURA DO PISCA DIREITA,1,23H01
A 9603233065    7416,BARRA ESTABILIZADORA,1,ESTRADO 0
A 9606603113    7G99,CJ REVEST INF PARTE-SUP DIR ESTRIBO,1,ESTRADO 4
A 9606666537    7G99,REVEST INF DIR ESTRIBO ASH600 CABINE2500,1,22E12
A 9608110807    9135,COBERTURA EXT SUP ESPELHO RETROVISOR ESQ,1,ESTRADO 5
A 9608110907    9135,COBERTURA EXT SUP ESPELHO RETROVISOR DIR,1,ESTRADO 5
A 9608111207    0000,COBERTURA ESQ / CAB 205M - PRIMER,1,14D06
A 9608260059    7G99,ARO DE REVESTIMENTO DO FAROL DIANTEIRO,2,13D07
A 9608260159    7G99,ARO DE REVESTIMENTO DO FAROL DIANTEIRO,1,13A07
A 9608801209    0000,CJ SPOILER FRONTAL / LTS ONROAD ESQ,1,ESTRADO 4
A 9608801991    0000,CANTO DE IMPACTO DIA DIR LAVAD.FAR. / ON,1,ESTRADO 0
A 9608808772    7277,CJ PARA-CHOQUE DIANTEIRO COMPLETO DIR,1,ESTRADO 5
A 9612417813    7416,LU COXIM DO MOTOR,1,ESTRADO 6
A 9612419813    7416,LU COXIM DO MOTOR,2,ESTRADO 4
A 9613200034    7416,CJ SUPORTE,1,30
A 961430535711007416,SUPORTE DO TUBO DO COMPRESSOR,1,28B07
A 9738101410    7D66,QUEBRA-SOL ESQUERDO,1,27D01
A 9794620423    9051,REVESTIMENTO DA COLUNA DE DIRECAO TRAS,1,27D04
A 9794620523    9051,REVESTIMENTO DA COLUNA DE DIRECAO DIA,1,07B05
A 9798857103    7G99,PONTEIRA DIREITA DO PARA CHOQUE,1,30
A 9909910340    9051,REBITE EXPANS.ANTIRUIDO CAPOPLAST.,12,16F29
A000011533120,SENSOR SEMI EIXO,4,04G06
A0009890925,MEIO ANTICONGELANTE,50,LUBRI
A0019894303,MOBIL DELVAC 1340 - OLEO DE CAMBIO,158,LUBRI
A00498904200020,ARLA 32 - BD 20 LITROS,6,LUBRI
A0109975482,TUBO SINTETICO,4,15G16
A0149974346,RETENTOR RADIAL,4,19D02
A63449001400097,SUPORTE DE ESCAPAMENTO,2,11B02
A90618001090098,ELEMENTO FILTRO DE OLEO,2,12F08
A9423530062,ARRUELA DE ACO DO EIXO,2,04D04
HU721/6,ELEMENTO FILTRO OLEO CAMBIO (KIT C/JTA),2,09A03
LB00010040,MOBIL MX15W40 BALDE,40,ESTRADO 1
LB00100003,PRODOL GREEN 2L,29,LUBRI
LB00100200,AGUA DESMINERALIZADA,17,LUBRI
LB00260070,OLEO EATON CAMBIOS LEVES - 80W90,14,LUBRI
LB00350090,OLEO MINERAL P/ DIFERENCIAL BALDE,5,LUBRI
LB00350091,OLEO DIFERENCIAL VOLVO 85W140 LT,48,LUBRI
N000000000324,BRACADEIRA,13,03C06
N000000000665,ABRACADEIRA,19,01H02
N000000000666,ABRACADEIRA MBN 10223- 16- 27X13-SWB-W3,10,01E02
N000000000667,BRACADEIRA,9,01H01
N000000000826,PARAFUSO DE CHAPA,23,15E07
N000000000925,PARAFUSO DE CHAPA,3,01D16
N000000001011,PARAFUSO SEXT ISO 4017-M22X140,1,15B22
N000000001066,ANEL DE VEDACAO DIN7603-A8X14-CU-CU/SN12,18,01C11
N000000001068,ANEL VEDACAO  A  12  X 18-CUN12 DIN7603,74,01H21
N000000001069,ANEL VEDACAO DIN 7603-A 14X20-CU CU/SN12,111,01E13
N000000001070,ANEL VEDACAO DIN 7603-A 16X22-CU CU/SN12,18,01F06
N000000001072,ANEL VEDACAO DIN 7603-A 20X26-CU CU/SN12,53,01E09
N000000001074,ANEL VEDACAO DIN 7603-A 30X36-CU CU/SN12,1,01C10
N000000001153,PAR CIL HEXALOB,7,15C30
N000000001157,PAR CIL HEXALOB,9,15E32
N000000001467,ABRACAD. MBN 10272A 50 70X13SW8W3,6,10G12
N000000001468,ABRACADEIRA MBN10272-A-60-80X13-SW8-W3,9,02A07
N000000001642,BRACADEIRA,2,02G08
N000000001799,PARAFUSO M8X16 - ACO LIGA,3,01C04
N000000002036,PAR CIL HEXALOB,34,15D28
N000000003386,DISCO,36,01G19
N000000003555,"PARAFUSO M12X1,50X40-ACO LIGA",10,15D17
N000000003648,PAR CIL HEXALOB,2,15D11
N0000000040510064,PARAFUSO OCO NA TUBULACAO DE O-ACO BAIXO,2,15A19
N000000005427,PARAFUSO SEXTAVADO-M22X 65,1,15E12
N000000005461,"PORCA  M14X1,5 - MEDIO CARBONO",5,01G21
N000000005464,PORCA M24X2 - MEDIO CARBONO,13,15H10
N000000005506,PARAFUSO SEXTAVADO DE ACO,6,15I32
N0000000055070064,PARAFUSO SEXTAVADO M24X2X200,1,15D32
N000000005517,PARAF. HEXAGONAL,5,15G08
N000000005535,"PARAFUSO M16X1,5X40 - ACO LIGA",3,15F12
N000000005541,"PARAFUSO M16X1,5X140 - ACO LIGA",2,15H21
N000000005544,"PARAFUSO SEXTAVADO DE ACO   M 16X1,5X70",1,15D21
N000000005564,"PARAF SEXTAVADA M18X1,5X 60",4,15A24
N000000005566,"PARAFUSO SEXTAVADO M18X1,5X100",2,15I20
N000000005568,"PARAFUSO SEXTAVADO M 18X1,5X130",1,15E13
N000000005650,PORCA  DIN 74361-H 18-10 DBL9440.40,1,01G13
N000000005662,"PORCA M14X1,5 -MEDIO CARBONO",2,15G18
N000000005704,"PARAFUSO MBN 10105-C M20X1,5X120-10.9",3,15D25
N000000005718,PARAF. HEXAGONAL,4,15C19
N000000005723,"PARAF SEXT MBN 10105-M18X1,5X 55-10.9DBL",10,15H24
N000000005728,"PARAFUSO M20X1,5X80-ACO LIGA",6,15H08
N000000005729,"PARAFUSO M20X1,5X100-ACO LIGA",4,15E24
N000000005738,"PORCA N 13023-M 16X1,5",25,15D29
N000000005739,"PORCA  - M18X1,5",2,15E27
N000000005740,PORCA -MEDIO CARBONO,6,01A01
N000000005892,ABRACADEIRA METALICA,2,04A13
N000000005928,PORCA 27X2 - MEDIO CARBONO,6,15H01
N000000006151,ABRACADEIRA MBN10223-35-50X12-SW8-W3,2,02B03
N000000006600,PORCA M10 - ACO MEDIO CARBONO,1,15B21
N000000006617,FUSIVEL  80A,10,03G12
N000000006969,"PORCA  N 13025-M12X1,5 -10 DBL8451.76",2,15G23
N000000007028,PARAFUSO CABECA SEXTAVADA M20X290,52,17H08
N000000008567,PINO - ACO BAIXO CARBONO,2,03B13
N000000008933,PARAFUSO - BAIXO CARBONO,7,15E18
N000094004051,CON.PI ISO 1234- 4  X 22-ST DBL8451.12,7,01G17
N000125010517,"ARRUELA A 10,5 DIN 125 DBL 8451.11",69,01E03
N000471012000,ANEL DE SEGURANCA 12X1 DIN 471 DBL,190,01F10
N000471017000,ANEL DE SEGURANCA 17X1 DIN 471 DBL,4,01F09
N000471034000,"ANEL DE SEGURANCA 34 X 1,5 DIN 471",10,01I04
N000471035000,ANEL TRAVA,1,03H01
N000471065000,ANEL TRAVA DE ACO,1,01H03
N000471120000,ANEL DE SEGURANCA 120X4,1,06D07
N000472120000,ANEL TRAVA,9,03C09
N000472130000,"TRAVA  130X4,00 08 73329900",3,06I02
N000472150000,ANEL DE SEGURANCA 150X4,1,16D05
N000835012041,PRISIONEIRO M12X35 DBL 9400.00,10,15F28
N000908022011,"BUJAO DIN 908 - M22X1,5 - ST DBL 9440.40",5,01C05
N000931016137,PARAF.CAB.SEXTA.M16X65 DIN931 DBL8451.25,2,15I12
N000979010011,PORCA,8,15H14
N000988006032,ARRUELA DE AJUSTE,1,01D23
N000988036100,ARRUELA DE AJUSTE - METAL,2,01C19
N003861006007,ANEL VEDADOR S 6 DIN 3861,59,01F08
N003861008005,ANEL VEDADOR S 8 DIN 3861 DBL 8451.21,7,01B01
N004626012103,PARAF.DA MOLA AM 12X150 DIN4626 DBL 9400,3,15G05
N005401308500,"ESFERA DIN 5401-8,5   G20",3,04A06
N006799008005,ARRUELA DE SEGURANCA 8 DIN6799,1,SL
N007349010006,"ARRUELA 10,5 DIN7349-C45 V750-900",4,01C20
N007603008104,ANEL DE VEDACAO A 8X12 DIN 7603,62,01B21
N007603008403,ANEL DE VEDACAO D 8X14 DIN 7603,100,01C02
N0076030101000003,ANEL DE VEDACAO,1,01A20
N007603010406,ANEL DE VEDACAO,8,05C09
N007603012100,ANEL DE VEDACAO,44,01B19
N007603014104,ANEL DE VEDACAO,59,01C21
N007603016102,ANEL DE ALUMINIO A 16X22 AL,76,01C24
N007603018103,ANEL DE VEDACAO A 18X24 DIN 7603,11,01D19
N007603022100,ANEL DE VEDACAO A 22X27 DIN7603-ALUMINIO,121,01D22
N007603024105,ANEL DE VEDACAO,10,01D20
N007603026100,ANEL DE VEDACAO A 26X32 DIN7603-ALUMINIO,16,01E19
N007603045100,ANEL DE VEDACAO A 45X52 DIN7603-ALUMINIO,89,01E22
N009021005104,"ARRUELA A 5,3 DIN 9021 DBL 8451-12",83,01E01
N009021006103,"ARRUELA A 6,4 DIN 9021 DBL 8451 11",96,01F19
N009021006208,DISCO,94,01H19
N009021008102,"ARRUELA LISA A 8,4 DIN 9021 DBL 8451 11",38,01F21
N009021010102,"ARRUELA LISA-A 10,5 DIN 9021 DBL 8451-11",45,01F20
N009021010209,DISCO,2,01G22
N009021013101,ARRUELA A 13 DIN 9021,1,01F22
N009021017201,ARRUELA - ACO,4,01F23
N070952060102,CHAPA TRAVA A 60 ST 13BK,1,03A13
N070952075103,TRAVA A 75 DIN 70952 BK OLEADA,39,23B10
N070952085101,"ARRUELA DE TRAVA, DIAMETRO 85MM DE ACO",31,01H23
N071412010200,GRAXEIRA BM 10X1 DIN 71412 ZINCADA,4,09B07
N072601024190,LAMPADA INCAND. P 25124V/21W DIN72601,6,15D05
N072601024210,LAMPADA INCANDESCENTE P 25-2-24V/ 21/5W,6,15F01
N072601024250,LAMPADA INCAND. W 10/5 24V 5W DIN72601,12,15F02
N072601024702,LAMPADA INCAND. G 24 V 10W DIN72601,6,15E04
N308673012003,"PORCA M12X1,25 ISO 8673 DBL9440.40",6,15H07
N308674018000,"PORCA M 18X1,5 ISO 8674 DBL 9440.20",1,15G22
N900170008025,PARAF.CAB.SEXT.C/COLAR M8X35 N170A,2,15C13
N900271050024,MANGUEIRA  50X62X300 (N271),2,21A21
N900271065003,MANGUEIRA DE REFLUXO RADIADOR-BORRACHA,2,30
N910105008005,PARAF. HEXAGONAL,5,15A07
N910105008008,PARAF. HEXAGONAL,4,15C29
N910105008009,PARAF. HEXAGONAL,1,15A09
N910105008014,PARAF. HEXAGONAL,1,15B23
N910105008035,PARAF SEXT  M 8X 65  10.9,2,15H15
N910105008062,PARAFUSO MBN CM 8X140 8.8,2,15D15
N910105010002,PARAF. HEXAGONAL,16,15C07
N910105010003,PARAF. HEXAGONAL,9,15C08
N910105010007,PARAF SEXT. M10X 35 10.9,3,15G12
N910105010010,PARAFUSO SEXTAV.MBN 10105-M10X 70-10.9,1,15C10
N910105010011,PARAF. HEXAGONAL,35,15C11
N910105010013,PARAF. HEXAGONAL,4,15F10
N910105012011,PARAF. HEXAGONAL,14,15E30
N910105012023,PARAFUSO CAB.SEXT.MBN 10105-M12X45,12,15D08
N910105014009,PARAF. HEXAGONAL,1,15C24
N910105014019,PARAF. HEXAGONAL,12,15A10
N910105016005,"PARAFUSO CAB.SEXT.M16X1,5X60",1,01B05
N910105016006,PARAF. HEXAGONAL,12,15H32
N910105016008,"PARAFUSO MBN M 16X1,5X90",8,15B06
N910105016010,"PARAF SEXT FLANGE M16X1,5X130",1,15A27
N910105018019,PARAFUSO SEXTAVADO COM FLANGE,1,15B29
N910106010037,PARAF. M10X16 10.9 DBL 9460.40,4,15B04
N910142008000,PAR CIL HEXALOB,4,15E10
N910142010001,PARAFUSO M10X 90-ACO LIGA,1,15B27
N910143008003,PAR CIL HEXALOB,9,15A29
N910143008006,PAR CIL HEXALOB,15,01B08
N910143008018,PARAFUSO M8X40 - ACO LIGA,6,15A12
N912001024000,TRAVA N 12001-24 (METAL),2,06C09
N912009035100,ANEL TRAVA - ACO,24,16E32
N913023006002,PORCA SW10,15,15G19
N913023008002,PORCA,13,15G21
N913023010002,PORCA,42,15B15
N913023012002,PORCA,24,15F20
N913023014003,PORCA,48,15G24
N913023020001,"PORCA M 20X1,5 N 13023 DBL9440.40",3,15B19
N914126012002,"PARAFUSO M12X1,5X80 - ACO LIGA",5,15A26
N914126018003,"PARAF C/COLAR M18X1,5X130 N 14126",1,15B14
N915036018204,CONEXAO B 18 N 1503,1,01B14
N915062009000,LUVA 9 N 15062,2,01B10
N917003026003,JUNTA DE VEDACAO DE BORRACHA,25,16C16
N917003028002,JUNTA DE VEDACAO 28X53X1 -AF DBL 6012.40,10,20E08
N917003036003,JUNTA DE VEDACAO DE BORRACHA,15,01F24
OM171819,CINZA SUB GRAY FOSCO SKY 1/1,1,12A06
OM23997110,UNIAO COMPL 08X06 RAPIDA PLAST,1,24F10
OM3000001,PF SX 8.8 FLANGEADO PL RI,1,15B01
OM30001002,DISCO DE PEDRA,8,10B01
OM30001005,ABRACADEIRA,25,10D11
OM30001006,ABRA¿ADEIRA ¿,1,10G11
OM30001007,ABRACADEIRA,24,10D12
OM30001008,ABRACADEIRA,25,10H12
OM30001011,FITA DE PANO,13,10B12
OM30001012,ABRACADEIRA,26,10D13
OM30001013,TRAVA ROSCA,4,10E15
OM30001015,COLA SILICONE,1,10E10
OM30001017,SILICONE SPRAY,10,10I06
OM30001019,LIMPA CONTATO,21,10F05
OM30001020,DISCO DE LIXA 36,15,10B08
OM30001023,ABRACADEIRA,6,10G13
OM30001026,FITA ISOLANTE,25,10B10
OM30001032,LIXA 1200,24,10C06
OM30001033,COADOR,12,10C12
OM30001034,COLA SUPER BONDER,9,10D15
OM30001035,COLA SUPER BOND,24,SL
OM30001038,MASSA POLIESTER,11,10C04
OM30001040,LIXA CH 80 NORTON,9,10C09
OM30001041,DISCO DE CORTE,1,11C06
OM30001043,VERNIZ,1,10A05
OM30001046,CATALIZADOR PU,2,10G15
OM30001050,FITA CREPE,21,10G06
OM30001051,CERA,1,10G16
OM30001064,KPO,8,10D01
OM30001071,ESTOPA,3,14A10
OM30001078,COLA,2,12A02
OM30001079,COLA BRANCA,3,11B10
OM30001080,COLA PARA BRISA,10,10D05
OM30001104,LUBRIFIX WHITE LUB,21,10E05
OM30001131,ABRACADEIRA,2,10H11
OM30002005,GAS DO AR CONDICIONADO 13KG,1,30
OM3001023,CAT P/ WASH PRIMER VINILICO 300ML,10,SL
OM30092015,COPO DO FILTRO RACOR,7,10B17
OM30100001,FITA DUPLA FACE,24,10E13
OM30100004,CINZA 7354,3,10C15
OM30100007,LIXA 320 SECO,6,10D08
OM30100008,LIXA 400,3,10E06
OM30100010,DISCO LIXA 320,19,10D09
OM30100012,PRIMER PU,5,10B07
OM30100014,CABO PP 4X1,58,24F16
OM30100015,"FIO VERMELHO 1,5 MM",128,10F11
OM30100027,FIO CINZA 1MM,12,10F10
OM30100028,DESENGRAXANTE,2,10I09
OM30100030,"FIO PRETO 2,5MM",100,10B14
OM30100200,KIT REVISAO N203,18,09C01
OM30100205,LIMPA AR CONDICIONADO,19,09D01
OM30100508,DPF CLEANER - LIMPADOR DE FILTRO DE PARTICULAS DIE,3,10E14
OM301007583,CHICOTE VIDRO ELET FIESTA/ECOSPORT,1,24I13
OM30150003,INDUZIDO,1,11A11
OM30260003,JG DE VEDADORES,1,24B11
OM30260044,JG REPARO CX FSO 4305/4405/4505,1,24E04
OM30260085,JG DE REPARO G85,3,10A07
OM30260330,REPARO G330,4,10A16
OM30300001,LIXA DAGUA 320,10,10F08
OM30315010,PORTETOR 5º RODA Q1001,1,VIDROS
OM30315020,PROTETOR 5º RODA Q1004B,2,VIDROS
OM30420004,CONEXAO,10,10A13
OM30420016,ANTI RUIDO 9586822060,1,24A11
OM30420020,ENGATE 16MM,3,24D13
OM30420029,PARAFUSO DE RODA,1,15B17
OM30420030,CHAVE DE REGULAGEM PINCA AXOR,2,10B02
OM30420040,PARAFUSO DA DOBRADICA,70,11A13
OM30540004,SENSOR DE PERCURSO,3,24B03
OM30541027,KIT REPARO CHICOTE,1,24I11
OM30542021,RELE DE SETA,1,09H01
OM30542022,RELOGIO DE MERCURIO,1,24A12
OM30542023,BUZINA,1,SL
OM30544006,CJ PROTETOR DO FAROL AXOR,1,24G16
OM30544011,FAIXA REFLETIVA LE/LD,4,24C09
OM30545001,"CABO PP 2X1,5",11,09A04
OM30545002,CONECTOR ALTERNADOR ETE7599,1,24A16
OM30545003,CONECTOR 2 VIAS,2,24F05
OM30545004,TERMINAL,88,24I09
OM30545005,CONECTOR LANTERNA,1,24B15
OM30545006,RELE HIBRIDO,1,24F08
OM30545019,"CABO TP 7X1,5",40,11C16
OM30545024,"TERMINAL FEMEA 4,8MM",100,11A04
OM30545026,MOTOR DE PASSO  (EIXO METAL),1,24E14
OM30545032,CONECTOR 3 VIAS ETE7741,1,24H05
OM30545201,SENSOR DE PRESSAO,1,11E04
OM30595001,TAMPA RESERVATORIO,1,11E02
OM30600001,BOINA DUPLA,1,10C10
OM30600003,BRANCO 9147,12,10F03
OM30600009,DISCO DE LIXA 150,17,10E08
OM30600010,DISCO HOOKIT,17,10E09
OM30600013,DISCO LIXA 80,14,10C07
OM30600018,PRIMER UNIVERSAL 900,2,10C17
OM30600026,DILUENTE PU,16,10I14
OM30600041,LIXA 220,26,10B09
OM30600050,LIXA DAGUA 400,16,10D07
OM30600064,DISCO FLAP 4 1/2  GR 40,5,10A17
OM30820003,FAROL,2,24H15
OM30830003,HIGIENIZADOR WURTH,26,10D17
OM30880012,PARALAMA TRACAO,1,ESTRADO 0
OM30880060,PARA-BARRO,1,SL
OM30981012,ROLAMENTO ALTERNADOR,1,24E01
OM30993001,CORREIA 8PK 1930.,2,24D02
OM30997007,CORRUGADO,1,24B05
OM30997011,CORRUGADO,8,11F18
OM40044802,TERMINAL DE BATERIA,2,11F05
OM40430146,DESINGRIPANTE,8,10G09
OM60050007,DIAFRAGMA,1,11D01
QALBRA6540700187,PORTA INJETOR COMMON RAIL,8,16E22
QALBRA6540709302,BOMBA DE ALTA PRESSAO,2,14A02
Q6091205,ABRACADEIRA DE ACO DO TUBO,1,09E02
000000/000131/5,EMENDA 6MM,1,01D03
000000/000250/5,PANO PARA LIMPEZA,106,08C03
0000000021421,LAMPADA H7 24V,3,15F01
0000000063841,LAMPADA H11 24V,4,15A05
000000/008090/1,LAMPADA H7 12V,3,15D06
00000010010509,JOGO JUNTAS,1,SL
0000001605211,JUNTA TAMPA VALVULA,1,24D09
0000009445551,PRESILHA,5,24A02
0000015069331,CABO ELETRICO NOX,3,24B02
0000015311221,CONECTOR MODULO MRII (PLASTICO),1,SL
0000025400171,ROLETE,4,16C10
0000026032981,MANOPLA CAMBIO,1,SL
0000032600811,BUCHA BARRA ESTABILIZADORA DIANTEIRO,10,24G01
0000040106721,PORCA DE RODA,2,24C14
0000041002221,ROLAMENTO,2,24H14
0000041012311,CRUZETA CARDAN,1,24D04
0000042041711,VALVULA SOLENOIDE,1,24G05
0000042957951,FILTRO APU,4,24I16
0000043118271,HIDROVACUO,1,ESTRADO 4
0000047004051,TAMPA,1,11B04
0000047071051,TAMPA DO TANQUE DE ARLA,6,24A05
0000047071301,TAMPA DO RESERVATORIO DO ARLA,1,09B02
0000050146151,TAMPA RESERVATORIO,1,24E07
000006250062031,ROLAMENTO,1,24E11
0000075003841,FECHADURA DO CAPO,1,24I02
0000081021791,ESPELHO RETROV ELT/AQUECIDO LD,1,11B18
0000081024791,ESPELHO RETR.AUX.AXOR ATEGO C DESEMB. (BHC),2,11C15
0000099685451,TERMINAL DA ALAVANCA,1,24C06
0000099693451,TERMINAL ROSCA DIR.,1,24G15
0000115331201,SENSOR GIROS,1,24F03
000011598001,VELA DE AQUECIMENTO,1,24G06
0000154224091,INTERRUPITOR D DE PRESSAO,1,24E06
0000154547141,INTERRUPTOR BLOQUEIO,1,11B16
0000154573091,INTERRUPTOR DE TUCHO,1,24D06
0000254473901,LENTE DA LANTERNA TRAS D/E,1,24H16
0000254509341,FUSIVEL 10A,8,11D03
0000254510341,MINI FUSIVEL 15A,20,11D04
0000254511341,FUSIVEL 20A,17,SL
0000254513341,MINI FUSIVEL,11,11D05
0000281067161,ESPELHO LE,1,ESTRADO 5
0000281129331,CRISTAL DO ESPELHO R ER1095A,2,24C17
0000281146331,VIDRO ESPELHO ER1238A,2,11A14
0000281147331,VIDRO ESPELHO AUXILIAR  ESQ/DIR,1,11C12
0000315429051,REGULADOR ALTERNADOR,2,24E05
0000354226181,SENSOR DE REGULAGEM DE NIVEL,2,10B06
0000398119051,ROLAMENTO PINHAO,1,24E13
0000454512131,INTERRUPTOR ACIONAM. VIDRO DIR,2,SL
0000554539131,INTERRUPTOR ACIONAMENTO VIDRO,1,24F06
0000615398281,SENSOR DA PRESSAO,1,24D01
0000699746491,RETENTOR,1,11B03
0000798121101,ROLAMENTO AGULHAS,1,04E20
0000854564261,CONECTOR DA LANTERNA,1,24G11
00008997549209,TUBO RASO,3,24E16
0000998155251,ROLAMENTO CX G85,2,24B14
0001098149011,ROLAMENTO EIXO EXT,1,SL
0001298183101,ROLAMENTO,1,SL
0001499746471,RETENTOR DE BORRACHA,1,24I07
0002754541261,CONECTOR 8 VIAS,1,24F15
0003554524281,TERMINAL ELETRICO,47,24E10
00072601024701,LAMPADA PAINEL 24V,4,15A01
000933/005025/1,PARAFUSO 5X25,88,15H11
000933/005030/1,PARAFUSO 5X30,64,15G30
000933/006020/1,PARAFUSOS DO CARTER,2,01D14
000933/008225/1,PARAFUSO,11,15F27
0009330082601,PF SEXT ACO,27,15E08
000933/008270/1,PARAFUSO SEXTAVADO,21,15D14
0009330102551,PF.SEXT.ACO 8.8,40,15H13
000933/010258/1,PARAFUSO,12,15C21
000933/010260/1,PARAF.SEXTAVADO ACO,9,15H18
000934/005000/1,PORCA 5MM,71,15H12
000934/006000/1,OF-PORCA SEXTAVADA,16,01A15
000934/008000/1,PORCA 8MM,4,15G26
0009340100001,"PO SEXT.M10 MA 1,5",67,01A17
000934/012000/1,PORCA 12MM,72,01A16
0020199002921,REBITE EXPAN,9,24C01
0031735102801,JUNTA,1,13C04
0031832000731,BUCHA BARRA  ESTABILIZADORA,6,24G08
0032735365521,ARRUELA ESPACADOR,1,24B08
0034454478941,LAMPADA H4 24V,1,15F03
0034499081971,REBITE,33,24D07
0034499082971,REBITE 6MM,9,24B07
0034499084971,REBITE POP,205,24E09
0034499090971,PORCA REBITE 8MM,2,24A07
0034581786151,EMBLEMA,2,24C13
0034599774901,ABRACADEIRA,644,24A03
0035054582141,INTERRUPTOR,1,24A06
0035218020551,CONJ SUCÇAO,1,24H10
0035258607351,JG ARRUELAS MG EIXO,1,24C02
0036601001801,JG JUNTA,1,10H16
0036605006271,VALVULA ESCAPE 1620,2,24A14
0036605012261,VALVULA ADMISSAO,2,24B06
0036842002441,ESPELHO RODA INFERIOR,1,24H06
0037620011521,CANO BOMBA D'AGUA,1,24H17
0038199400091,CHAPA DE SEGURANCA,6,SL
0038452005011,MANGUEIRA DE AR,1,30
0038499774901,ABRACADEIRA,2,24E02
0038499775901,CJ ABRACADEIRA,3,24F11
0038499776901,ABRACADEIRA,3,24A04
0038535101721,PORCA PINHAO DIFERENCIAL,1,04A15
0038899371101,MOLA PATIM FREIO,1,24D14
0038926007901,BOMBA DE OLEO G-210/240/280,2,24A09
003902/006001/1,EMENDA 6MM,20,01H07
0039020080011,EMENDA 8MM,16,01H08
003902/010001/1,EMENDA 10MM,17,01H09
003902/012001/1,EMENDA 12MM,7,01H10
0039020160041,EMENDA INTERNA 16MM,5,01D05
0039335024231,CAIXA SATELITE,1,ESTRADO 5
0044203100271,PISTA RETENTOR,1,24I08
0045703013601,"BRONZINA BIELA 0,25",1,24E15
0045714100801,JUNTA DE ADMISSAO,3,24B10
0045720044701,TENSOR DE CORREIA,1,24I05
0061105002251,TUCHO DA VALVULA,16,10F09
006505400117,SENSOR ABS MBB ACTROS/ACTOS,1,24G09
0065107049871,INJETOR DE COMBUSTIVEL COMMON RAIL,1,24G14
0065554007171,SENSOR ABS TRASEIRO 90 GRAUS LD,1,24G13
0066440100711,PARAFUSO TRAS,1,24C03
006645456628/1,CONECTOR 3 VIAS,1,24G03
0068869771981,BORRACHA PORTA,4,13C01
0068872073531,QUADRO DO VIDRO,1,SL
0068872076461,MAQUINA DO VIDRO LD,1,24F17
0068899773471,RETENTOR BORRACHA,4,10A14
0069382071211,LANTERNA DE SETA LE,1,24F01
0069466674111,CHAPA DO ESTRIBO,1,14E01
0069476070441,CABO,2,24B16
0069481000371,ESCORA,1,11F14
0069498772511,VEDACAO CAPO,2,13C02
0069542316101,JO LONAS FREIO,4,ESTRADO 5
0069654200211,9060140922JUNTA CAR,1,03G16
0069682001611,FAROL ESQUERDO,1,27E07
0069682002211,LANTERNA PISCA LD,1,24A17
0069682002611,FAROL DIREITO,1,27E06
0069698770351,GALAO PARALAMA MB 1214 1618 19,2,24B13
0069698771351,DIBRUM PARALAMA,1,24E12
007338/008212/1,JG DE REBITE LONA,1000,11E01
00733801001209,REBITE DE FREIO,16,24D08
0090132302851,BUCHA DO ESTABILIZAD,2,09E01
0090132302881,KIT ABRACADEIRA,2,09B08
0090176013471,MANCAL DO EIXO,1,24H01
009021/006103/1,OF-ARRUELA LISA,29,01E15
009021/010102/1,ARRUELA,18,01E16
0090401045051,JG. DE JUNTA COMPLET,1,SL
0090420025011,BOMBA D'AGUA,1,24D17
0090620044701,POLIA DO TENSIONADOR,1,24I12
0090698116251,ROLAMENTO,1,SL
0090699340961,CORREIA 8PK1940,1,24F02
0093052001191,PARALAMA LD,2,30
0094082000561,FAROL MILHA LE,2,24C08
0094082002211,LANTERNA LATERAL,1,24E03
0094082009211,LANTERNA PISCA DIANT LD,1,24D05
0094088509221,ARO DO FAROL ESQ.,1,24E17
0094088510221,ARO FAROL DIR,1,24I14
0094089018191,AMORTECEDOR,1,24F02
0094242121121,DISCO DE FREIO,1,ESTRADO 0
0094381101071,CAPA INF. ER 1291,4,11A06
0094382602591,MOLDURA CROMADA DO FAROL ESQUERDO,1,11D15
0094388503221,ACABAMENTO DO PARACHOQUE ACTROS LD,1,24F15
0094488000211,DEFLETOR FRONTAL INT.AXOR 2544/2644 LE,1,30
0094488402221,DEFLETOR ESQUERDO,1,30
0094488503221,ACABAMENTO INFERIOR,1,24B12
0094488503741,ANTEPARO,1,24B04
0094488504221,ACABAMENTO INFERIOR,1,24C10
0094488504741,ANTEPARO,1,24C07
0094488506251,SPOILER LD,1,14E10
